survey_date,state_fips,county_fips,census_region,census_division,county_name,buildings_1unit,units_1unit,value_1unit,buildings_2unit,units_2unit,value_2unit,buildings_3or4unit,units_3or4unit,value_3or4unit,buildings_5plusunit,units_5plusunit,X30,total_buildings
202001,21,015,3,6,Boone County,33,33,6317036,0,0,0,0,0,0,1,48,5400000,34
202001,21,017,3,6,Bourbon County,2,2,425000,0,0,0,0,0,0,0,0,0,2
202001,21,021,3,6,Boyle County,4,4,760491,0,0,0,0,0,0,0,0,0,4
202001,21,029,3,6,Bullitt County,36,36,7748163,1,2,135000,0,0,0,0,0,0,37
202001,21,035,3,6,Calloway County,1,1,98500,0,0,0,0,0,0,0,0,0,1
202001,21,037,3,6,Campbell County,15,15,3761038,0,0,0,0,0,0,1,27,0,16
202001,21,045,3,6,Casey County,0,0,0,0,0,0,0,0,0,0,0,0,0
202001,21,047,3,6,Christian County,9,9,890400,0,0,0,0,0,0,0,0,0,9
202001,21,049,3,6,Clark County,4,4,943232,1,2,400000,0,0,0,1,5,0,6
202001,21,067,3,6,Fayette County,66,66,12054388,0,0,0,0,0,0,3,92,0,69
202001,21,069,3,6,Fleming County,0,0,0,0,0,0,0,0,0,0,0,0,0
202001,21,077,3,6,Gallatin County,2,2,448477,0,0,0,0,0,0,0,0,0,2
202001,21,081,3,6,Grant County,4,4,101800,0,0,0,0,0,0,0,0,0,4
202001,21,091,3,6,Hancock County,1,1,194650,0,0,0,0,0,0,0,0,0,1
202001,21,099,3,6,Hart County,0,0,0,0,0,0,0,0,0,0,0,0,0
202001,21,101,3,6,Henderson County,5,5,1209600,0,0,0,0,0,0,0,0,0,5
202001,21,103,3,6,Henry County,5,5,740000,0,0,0,0,0,0,0,0,0,5
202001,21,111,3,6,Jefferson County,108,108,34659560,0,0,0,0,0,0,7,185,0,115
202001,21,113,3,6,Jessamine County,15,15,6014024,0,0,0,1,3,502500,0,0,0,16
202001,21,115,3,6,Johnson County,0,0,0,0,0,0,0,0,0,0,0,0,0
202001,21,117,3,6,Kenton County,20,20,5065155,0,0,0,0,0,0,0,0,0,20
202001,21,121,3,6,Knox County,0,0,0,0,0,0,0,0,0,0,0,0,0
202001,21,123,3,6,Larue County,2,2,474913,0,0,0,0,0,0,0,0,0,2
202001,21,137,3,6,Lincoln County,2,2,200000,0,0,0,0,0,0,0,0,0,2
202001,21,145,3,6,McCracken County,4,4,1033078,0,0,0,0,0,0,0,0,0,4
202001,21,151,3,6,Madison County,18,18,1780564,2,4,225992,0,0,0,1,5,0,21
202001,21,157,3,6,Marshall County,5,5,1230000,0,0,0,0,0,0,0,0,0,5
202001,21,161,3,6,Mason County,1,1,215000,0,0,0,0,0,0,0,0,0,1
