Garage entries-exits by garage,,,,,
Facility Name,16th and Hoff Garage,Off Street Parking ID,930,Parking Management District,Mission
Usage Type,Date,Total Entries,Total Exits,,
,9/29/2012,236.00,218.00,,
,9/30/2012,183.00,208.00,,
,10/1/2012,148.00,138.00,,
,10/2/2012,167.00,166.00,,
,10/3/2012,151.00,153.00,,
,10/4/2012,182.00,175.00,,
,10/5/2012,212.00,190.00,,
,10/6/2012,170.00,159.00,,
,10/7/2012,115.00,140.00,,
,10/8/2012,126.00,128.00,,
,10/9/2012,130.00,118.00,,
,10/10/2012,146.00,145.00,,
,10/11/2012,142.00,140.00,,
,10/12/2012,196.00,175.00,,
,10/13/2012,194.00,191.00,,
,10/14/2012,148.00,163.00,,
,10/15/2012,130.00,130.00,,
,10/16/2012,137.00,131.00,,
,10/17/2012,140.00,141.00,,
,10/18/2012,130.00,130.00,,
,10/19/2012,203.00,178.00,,
,10/20/2012,214.00,210.00,,
,10/21/2012,159.00,181.00,,
,10/22/2012,141.00,142.00,,
,10/23/2012,155.00,152.00,,
,10/24/2012,141.00,139.00,,
,10/25/2012,152.00,151.00,,
,10/26/2012,196.00,172.00,,
,10/27/2012,208.00,209.00,,
,10/28/2012,190.00,199.00,,
,10/29/2012,118.00,126.00,,
,10/30/2012,147.00,144.00,,
,10/31/2012,143.00,141.00,,
,11/1/2012,148.00,148.00,,
,11/2/2012,193.00,171.00,,
,11/3/2012,238.00,241.00,,
,11/4/2012,194.00,206.00,,
,11/5/2012,127.00,128.00,,
,11/6/2012,125.00,126.00,,
,11/7/2012,144.00,142.00,,
,11/8/2012,183.00,177.00,,
,11/9/2012,214.00,196.00,,
,11/10/2012,237.00,237.00,,
,11/11/2012,178.00,196.00,,
,11/12/2012,129.00,128.00,,
,11/13/2012,164.00,162.00,,
,11/14/2012,162.00,155.00,,
,11/15/2012,175.00,171.00,,
,11/16/2012,182.00,169.00,,
,11/17/2012,231.00,218.00,,
,11/18/2012,195.00,218.00,,
,11/19/2012,149.00,149.00,,
,11/20/2012,167.00,166.00,,
,11/21/2012,134.00,131.00,,
,11/22/2012,11.00,13.00,,
,11/23/2012,127.00,113.00,,
,11/24/2012,181.00,173.00,,
,11/25/2012,136.00,152.00,,
,11/26/2012,115.00,112.00,,
,11/27/2012,137.00,136.00,,
,11/28/2012,140.00,138.00,,
,11/29/2012,152.00,150.00,,
,11/30/2012,210.00,183.00,,
,12/1/2012,243.00,235.00,,
,12/2/2012,166.00,196.00,,
,12/3/2012,142.00,133.00,,
,12/4/2012,159.00,155.00,,
,12/5/2012,161.00,162.00,,
,12/6/2012,159.00,132.00,,
,12/7/2012,198.00,177.00,,
,12/8/2012,206.00,204.00,,
,12/9/2012,199.00,212.00,,
,12/10/2012,152.00,152.00,,
,12/11/2012,108.00,103.00,,
,12/12/2012,157.00,158.00,,
,12/13/2012,164.00,165.00,,
,12/14/2012,205.00,186.00,,
,12/15/2012,228.00,231.00,,
,12/16/2012,196.00,210.00,,
,12/17/2012,158.00,158.00,,
,12/18/2012,167.00,167.00,,
,12/19/2012,159.00,158.00,,
,12/20/2012,157.00,150.00,,
,12/21/2012,215.00,205.00,,
,12/22/2012,196.00,202.00,,
,12/23/2012,155.00,162.00,,
,12/24/2012,71.00,73.00,,
,12/25/2012,15.00,16.00,,
,12/26/2012,111.00,105.00,,
,12/27/2012,172.00,170.00,,
,12/28/2012,204.00,193.00,,
,12/29/2012,218.00,220.00,,
,12/30/2012,195.00,205.00,,
,12/31/2012,138.00,96.00,,
,1/1/2013,50.00,89.00,,
,1/2/2013,114.00,116.00,,
,1/3/2013,131.00,128.00,,
,1/4/2013,196.00,184.00,,
,1/5/2013,197.00,185.00,,
,1/6/2013,121.00,147.00,,
,1/7/2013,118.00,116.00,,
,1/8/2013,132.00,132.00,,
,1/9/2013,149.00,149.00,,
,1/10/2013,143.00,139.00,,
,1/11/2013,180.00,162.00,,
,1/12/2013,205.00,207.00,,
,1/13/2013,152.00,168.00,,
,1/14/2013,122.00,123.00,,
,1/15/2013,130.00,130.00,,
,1/16/2013,129.00,128.00,,
,1/17/2013,151.00,152.00,,
,1/18/2013,201.00,179.00,,
,1/19/2013,236.00,225.00,,
,1/20/2013,156.00,174.00,,
,1/21/2013,143.00,140.00,,
,1/22/2013,160.00,160.00,,
,1/23/2013,138.00,139.00,,
,1/24/2013,150.00,144.00,,
,1/25/2013,200.00,186.00,,
,1/26/2013,246.00,241.00,,
,1/27/2013,178.00,195.00,,
