Garage entries-exits by garage,,,,,
Facility Name,Lombard Street Garage,Off Street Parking ID,938,Parking Management District,Marina
Usage Type,Date,Total Entries,Total Exits,,
,4/9/2011,324,289,,
,4/10/2011,123,178,,
,4/11/2011,105,105,,
,4/12/2011,102,103,,
,4/13/2011,141,138,,
,4/14/2011,137,140,,
,4/15/2011,209,177,,
,4/16/2011,250,240,,
,4/17/2011,94,131,,
,4/18/2011,107,103,,
,4/19/2011,116,119,,
,4/20/2011,128,125,,
,4/21/2011,162,160,,
,4/22/2011,216,178,,
,4/23/2011,186,181,,
,4/24/2011,229,262,,
,4/25/2011,103,101,,
,4/26/2011,119,116,,
,4/27/2011,155,150,,
,4/28/2011,171,164,,
,4/29/2011,194,177,,
,4/30/2011,257,223,,
,5/1/2011,76,117,,
,5/2/2011,107,107,,
,5/3/2011,137,131,,
,5/4/2011,180,175,,
,5/5/2011,170,155,,
,5/6/2011,195,190,,
,5/7/2011,209,205,,
,5/8/2011,62,82,,
,5/9/2011,90,90,,
,5/10/2011,130,125,,
,5/11/2011,162,159,,
,5/12/2011,203,187,,
,5/13/2011,256,222,,
,5/14/2011,455,436,,
,5/15/2011,129,177,,
,5/16/2011,116,121,,
,5/17/2011,135,129,,
,5/18/2011,188,177,,
,5/19/2011,183,174,,
,5/20/2011,215,198,,
,5/21/2011,266,248,,
,5/22/2011,109,149,,
,5/23/2011,100,98,,
,5/24/2011,144,144,,
,5/25/2011,159,160,,
,5/26/2011,226,221,,
,5/27/2011,171,147,,
,5/28/2011,182,177,,
,5/29/2011,65,89,,
,5/30/2011,0,0,,
,5/31/2011,99,101,,
,6/1/2011,178,167,,
,6/2/2011,191,177,,
,6/3/2011,241,208,,
,6/4/2011,443,408,,
,6/5/2011,197,260,,
,6/6/2011,121,122,,
,6/7/2011,123,114,,
,6/8/2011,166,160,,
,6/9/2011,167,165,,
,6/10/2011,174,149,,
,6/11/2011,190,176,,
,6/12/2011,77,102,,
,6/13/2011,107,103,,
,6/14/2011,136,136,,
,6/15/2011,146,141,,
,6/16/2011,138,131,,
,6/17/2011,189,161,,
,6/18/2011,209,205,,
,6/19/2011,58,80,,
,6/20/2011,100,100,,
,6/21/2011,110,104,,
,6/22/2011,131,128,,
,6/23/2011,141,129,,
,6/24/2011,167,140,,
,6/25/2011,156,145,,
,6/26/2011,54,79,,
,6/27/2011,93,85,,
,6/28/2011,110,108,,
,6/29/2011,172,162,,
,6/30/2011,136,128,,
,7/1/2011,114,105,,
,7/2/2011,105,108,,
,7/3/2011,38,44,,
,7/4/2011,97,83,,
,7/5/2011,79,80,,
,7/6/2011,128,129,,
,7/7/2011,150,145,,
,7/8/2011,182,159,,
,7/9/2011,237,216,,
,7/10/2011,145,179,,
,7/11/2011,92,92,,
,7/12/2011,104,101,,
,7/13/2011,134,129,,
,7/14/2011,118,107,,
,7/15/2011,166,154,,
,7/16/2011,198,178,,
,7/17/2011,83,118,,
,7/18/2011,77,77,,
,7/19/2011,121,114,,
,7/20/2011,162,160,,
,7/21/2011,137,129,,
,7/22/2011,166,155,,
,7/23/2011,164,159,,
,7/24/2011,74,94,,
,7/25/2011,89,88,,
,7/26/2011,147,142,,
,7/27/2011,117,120,,
,7/28/2011,147,140,,
,7/29/2011,169,151,,
,7/30/2011,171,168,,
,7/31/2011,53,77,,
,8/1/2011,90,90,,
,8/2/2011,123,116,,
,8/3/2011,143,148,,
,8/4/2011,132,122,,
,8/5/2011,151,144,,
,8/6/2011,182,174,,
,8/7/2011,55,73,,
,8/8/2011,73,73,,
,8/9/2011,120,111,,
,8/10/2011,146,145,,
,8/11/2011,151,147,,
,8/12/2011,206,166,,
,8/13/2011,198,197,,
,8/14/2011,92,134,,
,8/15/2011,98,103,,
,8/16/2011,120,115,,
,8/17/2011,119,117,,
,8/18/2011,158,148,,
,8/19/2011,182,168,,
,8/20/2011,218,207,,
,8/21/2011,61,89,,
,8/22/2011,110,109,,
,8/23/2011,131,127,,
,8/24/2011,147,145,,
,8/25/2011,146,144,,
,8/26/2011,189,154,,
,8/27/2011,202,206,,
,8/28/2011,85,105,,
,8/29/2011,117,117,,
,8/30/2011,96,91,,
,8/31/2011,139,136,,
,9/1/2011,128,123,,
,9/2/2011,155,145,,
,9/3/2011,121,121,,
,9/4/2011,69,83,,
,9/5/2011,0,1,,
,9/6/2011,91,83,,
,9/7/2011,163,157,,
,9/8/2011,159,152,,
,9/9/2011,177,154,,
,9/10/2011,250,220,,
,9/11/2011,93,145,,
,9/12/2011,115,113,,
,9/13/2011,119,121,,
,9/14/2011,152,151,,
,9/15/2011,153,150,,
,9/16/2011,228,202,,
,9/17/2011,271,246,,
,9/18/2011,91,135,,
,9/19/2011,108,103,,
,9/20/2011,130,125,,
,9/21/2011,179,172,,
,9/22/2011,133,134,,
,9/23/2011,219,191,,
,9/24/2011,239,236,,
,9/25/2011,78,103,,
,9/26/2011,81,76,,
