Garage entries-exits by garage,,,,,
Facility Name,Moscone Center Garage,Off Street Parking ID,941,Parking Management District,Downtown
Usage Type,Date,Total Entries,Total Exits,,
,8/9/2011,472,458,,
,8/10/2011,385,375,,
,8/11/2011,418,412,,
,8/12/2011,404,386,,
,8/13/2011,341,309,,
,8/14/2011,218,237,,
,8/15/2011,324,314,,
,8/16/2011,433,421,,
,8/17/2011,342,334,,
,8/18/2011,530,501,,
,8/19/2011,487,471,,
,8/20/2011,338,315,,
,8/21/2011,207,216,,
,8/22/2011,325,310,,
,8/23/2011,397,397,,
,8/24/2011,291,280,,
,8/25/2011,534,519,,
,8/26/2011,470,445,,
,8/27/2011,420,395,,
,8/28/2011,311,339,,
,8/29/2011,519,499,,
,8/30/2011,"1,007",953,,
,8/31/2011,906,857,,
,9/1/2011,888,859,,
,9/2/2011,698,673,,
,9/3/2011,399,381,,
,9/4/2011,315,330,,
,9/5/2011,298,292,,
,9/6/2011,458,445,,
,9/7/2011,246,241,,
,9/8/2011,396,383,,
,9/9/2011,366,335,,
,9/10/2011,329,291,,
,9/11/2011,207,248,,
,9/12/2011,381,370,,
,9/13/2011,655,626,,
,9/14/2011,706,689,,
,9/15/2011,496,480,,
,9/16/2011,312,292,,
,9/17/2011,204,174,,
,9/18/2011,62,92,,
,9/19/2011,203,199,,
,9/20/2011,323,312,,
,9/21/2011,384,375,,
,9/22/2011,776,745,,
,9/23/2011,822,777,,
,9/24/2011,644,611,,
