Garage entries-exits by garage,,,,,
Facility Name,Ellis OFarrell Garage,Off Street Parking ID,932,Parking Management District,Downtown
Usage Type,Date,Total Entries,Total Exits,,
,5/22/2011,"1,358","1,504",,
,5/23/2011,"1,277","1,257",,
,5/24/2011,"1,480","1,466",,
,5/25/2011,"1,446","1,432",,
,5/26/2011,"1,634","1,621",,
,5/27/2011,"1,808","1,744",,
,5/28/2011,"1,984","1,893",,
,5/29/2011,"1,601","1,672",,
,5/30/2011,"1,551","1,593",,
,5/31/2011,"1,367","1,335",,
,6/1/2011,"1,470","1,454",,
,6/2/2011,"1,541","1,514",,
,6/3/2011,"1,534","1,483",,
,6/4/2011,"1,811","1,735",,
,6/5/2011,"1,235","1,325",,
,6/6/2011,"1,308","1,298",,
,6/7/2011,"1,413","1,392",,
,6/8/2011,"1,648","1,622",,
,6/9/2011,"1,540","1,510",,
,6/10/2011,"1,548","1,493",,
,6/11/2011,"1,788","1,721",,
,6/12/2011,"1,150","1,246",,
,6/13/2011,"1,332","1,307",,
,6/14/2011,"1,526","1,503",,
,6/15/2011,"1,664","1,627",,
,6/16/2011,"1,614","1,595",,
,6/17/2011,"2,039","1,970",,
,6/18/2011,"2,264","2,224",,
,6/19/2011,"1,076","1,160",,
,6/20/2011,"1,350","1,347",,
,6/21/2011,"1,445","1,425",,
,6/22/2011,"1,593","1,553",,
,6/23/2011,"1,615","1,581",,
,6/24/2011,"1,754","1,689",,
,6/25/2011,"1,809","1,711",,
,6/26/2011,611,724,,
,6/27/2011,"1,304","1,311",,
,6/28/2011,"1,228","1,197",,
,6/29/2011,"1,580","1,549",,
,6/30/2011,"1,454","1,407",,
,7/1/2011,"1,666","1,616",,
,7/2/2011,"1,863","1,798",,
,7/3/2011,"1,427","1,507",,
,7/4/2011,"1,198","1,209",,
,7/5/2011,"1,243","1,239",,
,7/6/2011,"1,347","1,315",,
,7/7/2011,"1,581","1,518",,
,7/8/2011,"1,698","1,635",,
,7/9/2011,"1,885","1,816",,
,7/10/2011,"1,194","1,287",,
,7/11/2011,"1,250","1,242",,
,7/12/2011,"1,509","1,486",,
,7/13/2011,"1,680","1,671",,
,7/14/2011,"1,456","1,444",,
,7/15/2011,"1,788","1,724",,
,7/16/2011,"2,069","2,008",,
,7/17/2011,"1,256","1,327",,
,7/18/2011,"1,210","1,211",,
,7/19/2011,"1,326","1,312",,
,7/20/2011,"1,560","1,546",,
,7/21/2011,"1,694","1,670",,
,7/22/2011,"1,776","1,707",,
,7/23/2011,"2,015","1,961",,
,7/24/2011,"1,276","1,345",,
,7/25/2011,"1,283","1,256",,
,7/26/2011,"1,427","1,398",,
,7/27/2011,"1,444","1,422",,
,7/28/2011,"1,493","1,476",,
,7/29/2011,"1,688","1,611",,
,7/30/2011,"1,906","1,896",,
,7/31/2011,"1,264","1,310",,
,8/1/2011,"1,187","1,185",,
,8/2/2011,"1,352","1,323",,
,8/3/2011,"1,398","1,378",,
,8/4/2011,"1,575","1,545",,
,8/5/2011,"1,586","1,551",,
,8/6/2011,"1,972","1,885",,
,8/7/2011,"1,339","1,431",,
,8/8/2011,"1,272","1,278",,
,8/9/2011,"1,382","1,358",,
