Garage entries-exits by garage,,,,,
Facility Name,Japan Center Garage,Off Street Parking ID,935,Parking Management District,Fillmore
Usage Type,Date,Total Entries,Total Exits,,
,4/4/2011,716,697,,
,4/5/2011,774,745,,
,4/6/2011,907,853,,
,4/7/2011,820,797,,
,4/8/2011,"1,600","1,498",,
,4/9/2011,"1,980","1,881",,
,4/10/2011,"1,447","1,498",,
,4/11/2011,681,671,,
,4/12/2011,739,712,,
,4/13/2011,771,737,,
,4/14/2011,926,882,,
,4/15/2011,"1,486","1,388",,
,4/16/2011,"1,693","1,624",,
,4/17/2011,"1,385","1,391",,
,4/18/2011,808,774,,
,4/19/2011,826,798,,
,4/20/2011,916,871,,
,4/21/2011,961,937,,
,4/22/2011,"1,741","1,583",,
,4/23/2011,"2,004","1,989",,
,4/24/2011,"1,297","1,363",,
,4/25/2011,999,969,,
,4/26/2011,939,902,,
,4/27/2011,"1,071","1,030",,
,4/28/2011,"1,156","1,068",,
,4/29/2011,"1,531","1,470",,
,4/30/2011,"2,090","2,005",,
,5/1/2011,"1,653","1,701",,
,5/2/2011,755,738,,
,5/3/2011,"1,161","1,090",,
,5/4/2011,895,883,,
,5/5/2011,859,807,,
,5/6/2011,"1,286","1,175",,
,5/7/2011,"1,904","1,804",,
,5/8/2011,"1,513","1,595",,
,5/9/2011,746,719,,
,5/10/2011,626,619,,
,5/11/2011,708,664,,
,5/12/2011,797,767,,
,5/13/2011,"1,309","1,225",,
,5/14/2011,"1,902","1,843",,
,5/15/2011,"1,126","1,166",,
,5/16/2011,767,748,,
,5/17/2011,750,715,,
,5/18/2011,789,733,,
,5/19/2011,835,801,,
,5/20/2011,"1,315","1,251",,
,5/21/2011,"1,888","1,815",,
,5/22/2011,"1,107","1,158",,
,5/23/2011,661,637,,
,5/24/2011,722,704,,
,5/25/2011,811,779,,
,5/26/2011,956,928,,
,5/27/2011,"1,559","1,457",,
,5/28/2011,"2,005","1,923",,
,5/29/2011,"1,655","1,622",,
,5/30/2011,"1,106","1,108",,
,5/31/2011,910,876,,
,6/1/2011,849,818,,
,6/2/2011,"1,049",994,,
,6/3/2011,"1,536","1,372",,
,6/4/2011,"2,247","2,125",,
,6/5/2011,"1,363","1,462",,
,6/6/2011,733,697,,
,6/7/2011,901,864,,
,6/8/2011,993,962,,
,6/9/2011,"1,138","1,019",,
,6/10/2011,"1,362","1,356",,
,6/11/2011,"2,140","2,048",,
,6/12/2011,"1,121","1,127",,
,6/13/2011,852,817,,
,6/14/2011,915,872,,
,6/15/2011,871,831,,
,6/16/2011,876,867,,
,6/17/2011,"1,502","1,392",,
,6/18/2011,"1,733","1,709",,
,6/19/2011,"1,232","1,248",,
,6/20/2011,775,730,,
,6/21/2011,851,815,,
,6/22/2011,975,904,,
,6/23/2011,"1,004",960,,
,6/24/2011,"1,366","1,308",,
,6/25/2011,"1,682","1,607",,
,6/26/2011,986,992,,
,6/27/2011,772,730,,
,6/28/2011,956,905,,
,6/29/2011,848,822,,
,6/30/2011,798,785,,
,7/1/2011,"1,254","1,160",,
,7/2/2011,"1,625","1,562",,
,7/3/2011,"1,743","1,674",,
,7/4/2011,640,615,,
,7/5/2011,698,687,,
,7/6/2011,817,768,,
,7/7/2011,850,817,,
,7/8/2011,"1,246","1,178",,
,7/9/2011,"1,896","1,751",,
,7/10/2011,"1,427","1,428",,
,7/11/2011,851,815,,
,7/12/2011,841,782,,
,7/13/2011,864,807,,
,7/14/2011,910,862,,
,7/15/2011,"1,521","1,383",,
,7/16/2011,"1,999","1,925",,
,7/17/2011,"1,308","1,359",,
,7/18/2011,774,769,,
,7/19/2011,804,764,,
,7/20/2011,795,760,,
,7/21/2011,937,872,,
,7/22/2011,"1,602","1,446",,
,7/23/2011,"1,976","1,827",,
,7/24/2011,"1,408","1,481",,
,7/25/2011,782,765,,
,7/26/2011,840,776,,
,7/27/2011,878,840,,
,7/28/2011,882,825,,
,7/29/2011,"1,512","1,427",,
,7/30/2011,"1,759","1,677",,
,7/31/2011,"1,272","1,294",,
,8/1/2011,806,784,,
,8/2/2011,851,793,,
,8/3/2011,852,820,,
,8/4/2011,952,916,,
,8/5/2011,"1,503","1,351",,
,8/6/2011,"2,055","2,033",,
,8/7/2011,"1,427","1,485",,
,8/8/2011,801,787,,
,8/9/2011,883,849,,
,8/10/2011,846,811,,
,8/11/2011,"1,050",997,,
,8/12/2011,"1,301","1,202",,
,8/13/2011,"1,721","1,668",,
,8/14/2011,"1,353","1,351",,
,8/15/2011,845,803,,
,8/16/2011,"1,018",960,,
,8/17/2011,907,853,,
,8/18/2011,"1,006",964,,
,8/19/2011,"1,450","1,372",,
,8/20/2011,"1,990","1,952",,
,8/21/2011,"1,307","1,296",,
,8/22/2011,825,779,,
,8/23/2011,805,763,,
,8/24/2011,892,860,,
,8/25/2011,857,813,,
,8/26/2011,"1,303","1,242",,
